Number,Line1,Line2,kural_Translation,Explanation,Explanation_translation,adikaram_name,adikaram_translation
11,வான்நின்று உலகம் வழங்கி வருதலால்,தான்அமிழ்தம் என்றுணரற் பாற்று.,The genial rain ambrosia call: The world but lasts while rain shall fall,"மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்",By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia,வான்சிறப்பு,The Blessing of Rain
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்,துப்பாய தூஉம் மழை.,The rain begets the food we eat,"உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்","Rain produces good food, and is itself food",வான்சிறப்பு,The Blessing of Rain
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து,உள்நின்று உடற்றும் பசி.,"Let clouds their visits stay, and dearth Distresses all the sea-girt earth","மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்","If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world",வான்சிறப்பு,The Blessing of Rain
14,ஏரின் உழாஅர் உழவர் புயல்என்னும்,வாரி வளங்குன்றிக் கால்.,"Unless the fruitful shower descend, The ploughman's sacred toil must end","மழை என்னும் வருவாய் வளம் குன்றி விட்டால், ( உணவுப் பொருள்களை உண்டாக்கும்) உழவரும் ஏர் கொண்டு உழமாட்டார்","If the abundance of wealth imparting rain diminish, the labour of the plough must cease",வான்சிறப்பு,The Blessing of Rain
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே,எடுப்பதூஉம் எல்லாம் மழை.,Destruction it may sometimes pour But only rain can life restore,பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்,Rain by its absence ruins men; and by its existence restores them to fortune,வான்சிறப்பு,The Blessing of Rain
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே,பசும்புல் தலைகாண்பு அரிது.,"No grassy blade its head will rear, If from the cloud no drop appear","வானத்திலிருந்து மழைத்துளி வீழ்ந்தால் அல்லாமல், உலகத்தில் ஓரறிவுயிராகிய பசும்புல்லின் தலையையும் காண முடியாது","If no drop falls from the clouds, not even the green blade of grass will be seen",வான்சிறப்பு,The Blessing of Rain
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி,தான்நல்கா தாகி விடின்.,"The ocean's wealth will waste away, Except the cloud its stores repay","மேகம் கடலிலிருந்து நீரைக் கொண்டு அதனிடத்திலேயே பெய்யாமல் விடுமானால், பெரிய கடலும் தன் வளம் குன்றிப் போகும்","Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain)",வான்சிறப்பு,The Blessing of Rain
18,சிறப்பொடு பூசனை செல்லாது வானம்,வறக்குமேல் வானோர்க்கும் ஈண்டு.,"The earth, beneath a barren sky, Would offerings for the gods deny",மழை பெய்யாமல் போகுமானால் இவ்வுலகத்தில் வானோர்க்காக நடைபெறும் திருவிழாவும் நடைபெறாது; நாள் வழிபாடும் நடைபெறாது,"If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials",வான்சிறப்பு,The Blessing of Rain
19,தானம் தவம்இரண்டும் தங்கா வியன்உலகம்,வானம் வழங்கா தெனின்.,Were heaven above to fail below Nor alms nor penance earth would show,"மழை பெய்யவில்லையானால், இந்த பெரிய உலகத்தில் பிறர் பொருட்டு செய்யும் தானமும், தம் பொருட்டு செய்யும் தவமும் இல்லையாகும்.","If rain fall not, penance and alms-deeds will not dwell within this spacious world",வான்சிறப்பு,The Blessing of Rain
20,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்,வான்இன்று அமையாது ஒழுக்கு.,Water is life that comes from rain Sans rain our duties go in vain,"எப்படிப்பட்டவர்க்கும் நீர் இல்லாமல் உலக வாழ்க்கை நடைபெறாது என்றால், மழை இல்லையானால் ஒழுக்கமும் நிலைபெறாமல் போகும்","If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water",வான்சிறப்பு,The Blessing of Rain
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து,வேண்டும் பனுவல் துணிவு.,No merit can be held so high As theirs who sense and self deny,ஒழுக்கத்தில் நிலைத்து நின்று பற்று விட்டவர்களின் பெருமையைச் சிறந்ததாக போற்றி கூறுவதே நூல்களின் துணிவாகும்.,"The end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desire",நீத்தார் பெருமை,The Greatness of Ascetics
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து,இறந்தாரை எண்ணிக்கொண் டற்று.,To con ascetic glory here Is to count the dead upon the sphere,"பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.","To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead",நீத்தார் பெருமை,The Greatness of Ascetics
23,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்,பெருமை பிறங்கிற்று உலகு.,No lustre can with theirs compare Who know the right and virtue wear,பிறப்பு வீடு என்பன போல் இரண்டிரண்டாக உள்ளவைகளின் கூறுபாடுகளை ஆராய்ந்தறிந்து அறத்தை மேற்கொண்டவரின் பெருமையே உலகத்தில் உயர்ந்தது,"The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others)",நீத்தார் பெருமை,The Greatness of Ascetics
24,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்,வரனென்னும் வைப்பிற்கோர் வித்து.,"With hook of firmness to restrain The senses five, is heaven to gain","அறிவு என்னும் கருவியினால் ஐம்பொறிகளாகிய யானைகளை அடக்கி காக்க வல்லவன், மேலான வீட்டிற்கு விதை போன்றவன்",He who guides his five senses by the hook of wisdom will be a seed in the world of heaven,நீத்தார் பெருமை,The Greatness of Ascetics
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்,இந்திரனே சாலுங் கரி.,Indra himself has cause to say How great the power ascetics' sway,"ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்","Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses",நீத்தார் பெருமை,The Greatness of Ascetics
26,செயற்கரிய செய்வார் பெரியர் சிறியர்,செயற்கரிய செய்கலா தார்.,The small the paths of ease pursue The great achieve things rare to do,செய்வதற்கு அருமையான செயல்களை செய்ய வல்லவரே பெரியோர். செய்வதற்கு அரிய செயல்களைச் செய்யமாட்டாதவர் சிறியோர்.,The great will do those things which is difficult to be done; but the mean cannot do them,நீத்தார் பெருமை,The Greatness of Ascetics
27,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்,வகைதெரிவான் கட்டே உலகு.,"They gain the world, who grasp and tell Of taste, sight, hearing, touch and smell","சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று சொல்லப்படும் ஐந்தின் வகைகளையும் ஆராய்ந்து அறிய வல்லவனுடைய அறிவில் உள்ளது உலகம்.","The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell",நீத்தார் பெருமை,The Greatness of Ascetics
28,நிறைமொழி மாந்தர் பெருமை நிலத்து,மறைமொழி காட்டி விடும்.,"Full-worded men by what they say, Their greatness to the world display","பயன் நிறைந்த மொழிகளில் வல்ல சான்றோரின் பெருமையை, உலகத்தில் அழியாமல் விளங்கும் அவர்களுடைய மறைமொழிகளே காட்டிவிடும்.","The hidden words of the men whose words are full of effect, will shew their greatness to the world",நீத்தார் பெருமை,The Greatness of Ascetics
29,குணமென்னும் குன்றேறி நின்றார் வெகுளி,கணமேயும் காத்தல் அரிது.,"Their wrath, who've climb'd the mount of good, Though transient, cannot be withstood","நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்.","The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted",நீத்தார் பெருமை,The Greatness of Ascetics
30,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர் க்கும்,செந்தண்மை பூண்டொழுக லான்.,"With gentle mercy towards all, The sage fulfils the vitue's call","எல்லா உயிர்களிடத்திலும் செம்மையான அருளை மேற்கொண்டு ஒழுகுவதால், அறவோரே அந்தணர் எனப்படுவோர் ஆவர்.",The virtuous are truly called Anthanar; because in their conduct towards all creatures they are clothed in kindness,நீத்தார் பெருமை,The Greatness of Ascetics
31,சிறப்பு ஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு,ஆக்கம் எவனோ உயிர்க்கு.,From virtue weal and wealth outflow; What greater good can mankind know?,அறம் சிறப்பையும் அளிக்கும்: செல்வத்தையும் அளிக்கும்: ஆகையால் உயிர்க்கு அத்தகைய அறத்தை விட நன்மையானது வேறு யாது?,Virtue will confer heaven and wealth; what greater source of happiness can man possess ?,அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
32,அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை,மறத்தலின் ஊங்கில்லை கேடு.,Virtue enhances joy and gain; Forsaking it is fall and pain,ஒரு வருடைய வாழ்கைக்கு அறத்தை விட நன்மையானதும் இல்லை: அறத்தை போற்றாமல் மறப்பதை விடக்கொடியதும் இல்லை.,There can be no greater source of good than (the practice of) virtue; there can be no greater source of evil than the forgetfulness of it,அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
33,ஒல்லும் வகையான் அறவினை ஓவாதே,செல்லும்வாய் எல்லாஞ் செயல்.,"Perform good deeds as much you can Always and everywhere, o man!","செய்யக்கூடிய வகையால், எக்காரணத்தாலும் விடாமல் செல்லுமிடமெல்லாம் அறச்செயலைப் போற்றிச் செய்ய வேண்டும்.","As much as possible, in every way, incessantly practise virtue",அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
34,மனத்துக்கண் மாசிலன் ஆதல் அனைத்து அறன்,ஆகுல நீர பிற.,In spotless mind virtue is found And not in show and swelling sound,ஒருவன் தன்மனதில் குற்றம் இல்லாதவானாக இருக்க வேண்டும். அறம் அவ்வளவே: மனத்தூய்மை இல்லாத மற்றவை ஆரவாரத் தன்மை உடையவை.,Let him who does virtuous deeds be of spotless mind; to that extent is virtue; all else is vain show,அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
35,அழுக்காறு அவாவெகுளி இன்னாச்சொல் நான்கும்,இழுக்கா இயன்றது அறம்.,"Four ills eschew and virtue reach, Lust, anger, envy, evil-speech","பொறாமை, ஆசை, சினம், கடுஞ்சொல் ஆகிய இந்த நான்கு குற்றங்களுக்கும் இடங்கொடுக்காமல் அவற்றைக் கடித்து ஒழுகுவதே அறமாகும்.","That conduct is virtue which is free from these four things, viz, malice, desire, anger and bitter speech",அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
36,அன்றறிவாம் என்னாது அறஞ்செய்க மற்றது,பொன்றுங்கால் பொன்றாத் துணை.,Do good enow; defer it not A deathless aid in death if sought,"இளைஞராக உள்ளவர், பிற்காலத்தில் பார்த்து கொள்ளலாம் என்று எண்ணாமல் அறம் செய்ய வேண்டும். அதுவே உடல் அழியும் காலத்தில் அழியா துணையாகும்.",Defer not virtue to another day; receive her now; and at the dying hour she will be your undying friend,அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
37,அறத்தாறு இதுவென வேண்டா சிவிகை,பொறுத்தானோடு ஊர்ந்தான் இடை.,"Litter-bearer and rider say  Without a word, the fortune's way",பல்லக்கை சுமப்பவனும் அதன்மேலிருந்து ஊர்ந்து செல்லுவோனுமாகிய அவர்களிடையே அறத்தின் பயன் இஃது என்று கூறவேண்டா.,The fruit of virtue need not be described in books; it may be inferred from seeing the bearer of a palanquin and the rider therein,அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
38,வீழ்நாள் படாஅமை நன்றாற்றின் அஃதொருவன்,வாழ்நாள் வழியடைக்கும் கல்.,Like stones that block rebirth and pain Are doing good and good again,ஒருவன் அறம் செய்ய தவறிய நாள் ஏற்படாதவாறு அறத்தை செய்வானானால் அதுவே அவன் உடலோடு வாழும் நாள் வரும் பிறவி வழியை அடைக்கும் கல்லாகும்.,"If one allows no day to pass without some good being done, his conduct will be a stone to block up the passage to other births",அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
39,அறத்தான் வருவதே இன்பம் மற் றெல்லாம்,புறத்த புகழும் இல.,Weal flows only from virtue done The rest is rue and renown gone,அறநெறியில் வாழ்வதன் பயனாக வருவதே இன்பமாகும். அறத்தோடு பொருந்தாமல் வருவன எல்லாம் இன்பம் இல்லாதவை: புகழும் இல்லாதவை.,"Only that pleasure which flows from domestic virtue is pleasure; all else is not pleasure, and it is without praise",அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
40,செயற்பால தோரும் அறனே ஒருவற்கு,உயற்பால தோரும் பழி.,Worthy act is virtue done Vice is what we ought to shun,ஒருவன் வாழ்நாளில் முயற்சி மேற்கொண்டு செய்யத்தக்கது அறமே. செய்யாமல் காத்து கொள்ளத்தக்கது பழியே.,"That is virtue which each ought to do, and that is vice which each should shun",அறன் வலியுறுத்தல்,Assertion of the Strength of Virtue
41,இல்வாழ்வான் என்பான் இயல்புடைய மூவர்க்கும்,நல்லாற்றின் நின்ற துணை.,The ideal householder is he Who aids the natural orders there,இல்லறத்தில் வாழ்பவனாகச் சொல்லப்படுகிறவன் அறத்தின் இயல்பை உடைய மூவருக்கும் நல்வழியில் நிலை பெற்ற துணையாவான்.,"He will be called a (true) householder, who is a firm support to the virtuous of the three orders in",இல்வாழ்க்கை,Domestic Life
42,துறந்தார்க்கும் துவ்வாதவர்க்கும் இறந்தார்க்கும்,இல்வாழ்வான் என்பான் துணை.,"His help the monk and retired share, And celibate students are his care",துறந்தவர்கும் வறியவர்க்கும் தன்னிடத்தே இறந்தவர்க்கும் இல்லறம் மேற்கொண்டு வாழ்கிறவன் துணையாவான்.,"He will be said to flourish in domestic virtue who aids the forsaken, the poor, and the dead",இல்வாழ்க்கை,Domestic Life
43,தென்புலத்தார் தெய்வம் விருந்தொக்கல் தானென்றாங்கு,ஐம்புலத்தாறு ஓம்பல் தலை.,"By dutiful householder's aid God, manes, kin, self and guests are served","தென்புலத்தார், தெய்வம் விருந்தினர், சுற்றத்தார், தான் என்ற ஐவகையிடத்தும் அறநெறி தவறாமல் போற்றுதல் சிறந்த கடமையாகும்.","The chief (duty of the householder) is to preserve the five-fold rule (of conduct) towards the manes, the Gods, his guests, his relations and himself",இல்வாழ்க்கை,Domestic Life
44,பழியஞ்சிப் பாத்தூண் உடைத்தாயின் வாழ்க்கை,வழியெஞ்சல் எஞ்ஞான்றும் இல்.,Sin he shuns and food he shares His home is bright and brighter fares,"பொருள் சேர்க்கும் பொது பழிக்கு அஞ்சிச் சேர்த்து, செலவு செய்யும் போது பகுந்து உண்பதை மேற்க்கொண்டால், அவ்வாழ்கையின் ஒழுங்கு எப்போதும் குறைவதில்லை.","His descendants shall never fail who, living in the domestic state, fears vice (in the acquisition of property) and shares his food (with others)",இல்வாழ்க்கை,Domestic Life
45,அன்பும் அறனும் உடைத்தாயின் இல்வாழ்க்கை,பண்பும் பயனும் அது.,"In grace and gain the home excels, Where love with virtue sweetly dwells","இல்வாழ்க்கையின் அன்பும் அறமும் உடையதாக விளங்குமானால், அந்த வாழக்கையின் பண்பும் பயனும் அதுவே ஆகும்.","If the married life possess love and virtue, these will be both its duty and reward",இல்வாழ்க்கை,Domestic Life
46,அறத்தாற்றின் இல்வாழ்க்கை ஆற்றின் புறத்தாற்றில்,போஒய்ப் பெறுவ தெவன்?,"Who turns from righteous family To be a monk, what profits he?","ஒருவன் அறநெறியில் இல்வாழ்க்கையைச் செலுத்தி வாழ்வானானால், அத்தகையவன் வேறு நெறியில் சென்று பெறத்தக்கது என்ன?","What will he who lives virtuously in the domestic state gain by going into the other, (ascetic) state ?",இல்வாழ்க்கை,Domestic Life
47,இயல்பினான் இல்வாழ்க்கை வாழ்பவன் என்பான்,முயல்வாருள் எல்லாம் தலை.,"Of all who strive for bliss, the great Is he who leads the married state",அறத்தின் இயல்பொடு இல்வாழ்கை வாழ்கிறவன்- வாழ முயல்கிறவன் பல திறத்தாரிலும் மேம்பட்டு விளங்குகிறவன் ஆவான்.,Among all those who labour (for future happiness) he is greatest who lives well in the household state,இல்வாழ்க்கை,Domestic Life
48,ஆற்றின் ஒழுக்கி அறனிழுக்கா இல்வாழ் க்கை,நோற்பாரின் நோன்மை உடைத்து.,"Straight in virtue, right in living Make men brighter than monks praying","மற்றவரை அறநெறியில் ஒழுகச்செய்து தானும்அறம் தவறாத இல்வாழ்க்கை , தவம் செய்வாரைவிட மிகச்சிறந்த வல்லமை உடைய வாழ்க்கையாகும்.","The householder who, not swerving from virtue, helps the ascetic in his way, endures more than those who endure penance",இல்வாழ்க்கை,Domestic Life
49,அறன் எனப் பட்டதே இல்வாழ்க்கை அஃதும்,பிறன்பழிப்ப தில்லாயின் நன்று.,"Home-life and virtue, are the same; Which spotless monkhood too can claim",அறம் என்று சிறப்பித்து சொல்லப்பட்டது இல்வாழ்க்கையே ஆகும். அதுவும் மற்றவன் பழிக்கும் குற்றம் இல்லாமல் விளங்கினால் மேலும் நன்மையாகும்.,"The marriage state is truly called virtue The other state is also good, if others do not reproach it",இல்வாழ்க்கை,Domestic Life
50,வையத்துள் வாழ்வாங்கு வாழ்பவன் வான்உநற்யும்,தெய்வத்துள் வைக்கப் படும்.,He is a man of divine worth Who lives in ideal home on earth,"உலகத்தில் வாழவேண்டிய அறநெறியில் நின்று வாழ்கிறவன், வானுலகத்தில் உள்ள தெய்வ முறையில் வைத்து மதிக்கப்படுவான்.","He who on earth has lived in the conjugal state as he should live, will be placed among the Gods who dwell in heaven",இல்வாழ்க்கை,Domestic Life
51,மனைக்தக்க மாண்புடையள் ஆகித்தற் கொண்டான்,வளத்தக்காள் வாழ்க்கைத் துணை.,"A good housewife befits the house, Spending with thrift the mate's resource",இல்வாழ்க்கைக்கு ஏற்ற நற்பண்பு உடையவளாகித் தன்கணவனுடைய பொருள் வளத்துக்குத் தக்க வாழ்க்கை நடத்துகிறவளே வாழ்க்கைத்துணை ஆவாள்.,"She who has the excellence of home virtues, and can expend within the means of her husband, is a help in the domestic state",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
52,மனைமாட்சி இல்லாள்கண் இல்லாயின் வாழ்க்கை,எனைமாட்சித் தாயினும் இல்.,Bright is home when wife is chaste If not all greatness is but waste,"இல்வாழ்க்கைக்கு தக்க நற்பண்பு மனைவியிடம் இல்லையானால், ஒருவனுடைய வாழ்க்கை வேறு எவ்வளவு சிறப்புடையதானாலும் பயன் இல்லை.","If the wife be devoid of domestic excellence, whatever (other) greatness be possessed, the conjugal state, is nothing",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
53,இல்லதென் இல்லவள் மாண்பானால் உள்ளதென்,இல்லவள் மாணாக் கடை?,What is rare when wife is good What can be there when she is bad?,மனைவி நற்பண்பு உடையவளானால் வாழ்க்கையில் இல்லாதது என்ன? அவள் நற்பண்பு இல்லாதவளானால் வாழ்க்கையில் இருப்பது என்ன?,"If his wife be eminent (in virtue), what does (that man) not possess ? If she be without excellence, what does (he) possess ?",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
54,பெண்ணின் பெருந்தக்க யாவுள கற்பென்னும்,திண்மைஉண் டாகப் பெறின்.,What greater fortune is for men Than a constant chaste woman?,"இல்வாழ்க்கையில் கற்பு என்னும் உறுதிநிலை இருக்கப் பெற்றால், பெண்ணைவிட பெருமையுடையவை வேறு என்ன இருக்கின்றன?","What is more excellent than a wife, if she possess the stability of chastity ?",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
55,தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள்,பெய்யெனப் பெய்யும் மழை.,"Her spouse before God who adores, Is like rain that at request pours",வேறு தெய்வம் தொழாதவளாய்த் தன் கணவனையே தெய்வமாகக் கொண்டு தொழுது துயிலெழுகின்றவள் பெய் என்றால் மழை பெய்யும்.,"If she, who does not worship God, but who rising worships her husband, say, ""let it rain,"" it will rain",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
56,தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற,சொற்காத்துச் சோர்விலாள் பெண்.,"The good wife guards herself from blame, She tends her spouse and brings him fame","கற்பு நெறியில் தன்னையும் காத்துக்கொண்டு, தன்கணவனையும் காப்பாற்றி, தகுதியமைந்த புகழையும் காத்து உறுதி தளராமல் வாழ்கின்றவளே பெண்.","She is a wife who unweariedly guards herself, takes care of her husband, and preserves an unsullied fame",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
57,சிறைகாக்கும் காப்பெவன் செய்யும் மகளிர்,நிறைகாக்கும் காப்பே தலை.,Of what avail are watch and ward? Their purity is women's guard,மகளிரைக் காவல் வைத்துக் காக்கும் காப்பு முறை என்ன பயனை உண்டாக்கும்? அவர்கள் நிறை என்னும் பண்பால் தம்மைத் தான் காக்கும் கற்பே சிறிந்தது.,What avails the guard of a prison ? The chief guard of a woman is her chastity,வாழ்க்கைத் துணைநலம்,The Worth of a Wife
58,பெற்றாற் பெறின்பெறுவர் பெண்டிர் பெருஞ்சிறப்புப்,புத்தேளிர் வாழும் உலகு.,Women who win their husbands' heart Shall flourish where the gods resort,கணவனைப் போற்றிக் கடமையைச் செய்யப்பெற்றால் மகளிர் பெரிய சிறப்பை உடைய மேலுலகவாழ்வைப் பெறுவர்.,"If women shew reverence to their husbands, they will obtain great excellence in the world where the gods flourish",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
59,புகழ்புரிந்த இல்லிலோர்க்கு இல்லை இகழ்வார்முன்,ஏறுபோல் பீடு நடை.,A cuckold has not the lion-like gait Before his detractors aright,"புகழைக் காக்க விரும்பும் மனைவி இல்லாதவர்க்கு, இகழ்ந்து பேசும் பகைவர் முன் காளை போல் நடக்கும் பெருமித நடை இல்லை.","The man whose wife seeks not the praise (of chastity) cannot walk with lion-like stately step, before those who revile them",வாழ்க்கைத் துணைநலம்,The Worth of a Wife
